MORTGAGE CALCULATOR - EXCEL READY VERSION
=========================================

INSTRUCTIONS: Import this CSV into Excel and replace sample values with formulas below

=== LOAN INPUTS (Cells B3:B5) ===
Label,Value
Loan Amount,250000
Annual Interest Rate (%),6.5
Loan Term (Years),30

=== CALCULATED VALUES ===
Label,Value,Excel Formula to Use
Monthly Interest Rate,0.005417,=B4/12/100
Total Number of Payments,360,=B5*12
Monthly Payment,1580.17,=PMT(B8,B9,-B3)
Total of All Payments,568861.22,=B10*B9
Total Interest Paid,318861.22,=B11-B3

=== AMORTIZATION SCHEDULE ===
Month,Beginning Balance,Payment,Principal,Interest,Ending Balance
89,224713.86,1580.17,362.07,1218.10,224351.79
90,224351.79,1580.17,364.03,1216.14,223987.76
91,223987.76,1580.17,366.01,1214.17,223621.75
92,223621.75,1580.17,367.99,1212.18,223253.76
93,223253.76,1580.17,369.99,1210.19,222883.77
94,222883.77,1580.17,371.99,1208.18,222511.78
95,222511.78,1580.17,374.01,1206.16,222137.77
96,222137.77,1580.17,376.04,1204.14,221761.73
97,221761.73,1580.17,378.07,1202.10,221383.66
98,221383.66,1580.17,380.12,1200.05,221003.54
99,221003.54,1580.17,382.18,1197.99,220621.36
100,220621.36,1580.17,384.26,1195.92,220237.10
101,220237.10,1580.17,386.34,1193.83,219850.76
102,219850.76,1580.17,388.44,1191.74,219462.32
103,219462.32,1580.17,390.54,1189.63,219071.78
104,219071.78,1580.17,392.66,1187.51,218679.12
105,218679.12,1580.17,394.79,1185.38,218284.33
106,218284.33,1580.17,396.93,1183.24,217887.40
107,217887.40,1580.17,399.08,1181.09,217488.32
108,217488.32,1580.17,401.25,1178.93,217087.07
109,217087.07,1580.17,403.42,1176.75,216683.65
110,216683.65,1580.17,405.61,1174.56,216278.04
111,216278.04,1580.17,407.81,1172.37,215870.23
112,215870.23,1580.17,410.02,1170.15,215460.21
113,215460.21,1580.17,412.24,1167.93,215047.97
114,215047.97,1580.17,414.48,1165.69,214633.49
115,214633.49,1580.17,416.73,1163.45,214216.76
116,214216.76,1580.17,418.99,1161.19,213797.77
117,213797.77,1580.17,421.26,1158.91,213376.51
118,213376.51,1580.17,423.54,1156.63,212952.97
119,212952.97,1580.17,425.84,1154.33,212527.13
120,212527.13,1580.17,428.15,1152.02,212098.98
121,212098.98,1580.17,430.47,1149.70,211668.51
122,211668.51,1580.17,432.81,1147.37,211235.70
123,211235.70,1580.17,435.16,1145.02,210800.54
124,210800.54,1580.17,437.52,1142.65,210363.02
125,210363.02,1580.17,439.89,1140.28,209923.13
126,209923.13,1580.17,442.27,1137.90,209480.86
127,209480.86,1580.17,444.67,1135.50,209036.19
128,209036.19,1580.17,447.08,1133.09,208589.11
129,208589.11,1580.17,449.51,1130.67,208139.60
130,208139.60,1580.17,451.95,1128.23,207687.65
131,207687.65,1580.17,454.40,1125.78,207233.25
132,207233.25,1580.17,456.86,1123.31,206776.39
133,206776.39,1580.17,459.34,1120.83,206317.05
134,206317.05,1580.17,461.83,1118.34,205855.22
135,205855.22,1580.17,464.34,1115.84,205390.88
136,205390.88,1580.17,466.85,1113.32,204924.03
137,204924.03,1580.17,469.39,1110.79,204454.64
138,204454.64,1580.17,471.93,1108.24,203982.71
139,203982.71,1580.17,474.49,1105.68,203508.22
140,203508.22,1580.17,477.06,1103.11,203031.16
141,203031.16,1580.17,479.65,1100.53,202551.51
142,202551.51,1580.17,482.25,1097.93,202069.26
143,202069.26,1580.17,484.86,1095.31,201584.40
144,201584.40,1580.17,487.49,1092.69,201096.91
145,201096.91,1580.17,490.13,1090.04,200606.78
146,200606.78,1580.17,492.79,1087.39,200113.99
147,200113.99,1580.17,495.46,1084.72,199618.53
148,199618.53,1580.17,498.15,1082.02,199120.38
149,199120.38,1580.17,500.85,1079.32,198619.53
150,198619.53,1580.17,503.56,1076.61,198115.97
151,198115.97,1580.17,506.29,1073.88,197609.68
152,197609.68,1580.17,509.04,1071.14,197100.64
153,197100.64,1580.17,511.80,1068.38,196588.84
154,196588.84,1580.17,514.57,1065.60,196074.27
155,196074.27,1580.17,517.36,1062.82,195556.91
156,195556.91,1580.17,520.16,1060.01,195036.75
157,195036.75,1580.17,522.98,1057.20,194513.77
158,194513.77,1580.17,525.82,1054.36,193987.95
159,193987.95,1580.17,528.67,1051.50,193459.28
160,193459.28,1580.17,531.53,1048.64,192927.75
161,192927.75,1580.17,534.41,1045.76,192393.34
162,192393.34,1580.17,537.31,1042.86,191856.03
163,191856.03,1580.17,540.22,1039.95,191315.81
164,191315.81,1580.17,543.15,1037.02,190772.66
165,190772.66,1580.17,546.09,1034.08,190226.57
166,190226.57,1580.17,549.05,1031.12,189677.52
167,189677.52,1580.17,552.03,1028.15,189125.49
168,189125.49,1580.17,555.02,1025.16,188570.47
169,188570.47,1580.17,558.03,1022.15,188012.44
170,188012.44,1580.17,561.05,1019.12,187451.39
171,187451.39,1580.17,564.09,1016.08,186887.30
172,186887.30,1580.17,567.15,1013.02,186320.15
173,186320.15,1580.17,570.22,1009.95,185749.93
174,185749.93,1580.17,573.31,1006.86,185176.62
175,185176.62,1580.17,576.42,1003.76,184600.20
176,184600.20,1580.17,579.54,1000.64,184020.66
177,184020.66,1580.17,582.68,997.49,183437.98
178,183437.98,1580.17,585.84,994.33,182852.14
179,182852.14,1580.17,589.01,991.16,182263.13
180,182263.13,1580.17,592.20,987.98,181670.93
181,181670.93,1580.17,595.41,984.77,181075.52
182,181075.52,1580.17,598.63,981.54,180476.89
183,180476.89,1580.17,601.88,978.30,179875.01
184,179875.01,1580.17,605.14,975.04,179269.87
185,179269.87,1580.17,608.42,971.76,178661.45
186,178661.45,1580.17,611.71,968.46,178049.74
187,178049.74,1580.17,615.03,965.15,177434.71
188,177434.71,1580.17,618.36,961.82,176816.35
189,176816.35,1580.17,621.71,958.46,176194.64
190,176194.64,1580.17,625.08,955.10,175569.56
191,175569.56,1580.17,628.47,951.71,174941.09
192,174941.09,1580.17,631.87,948.31,174309.22
193,174309.22,1580.17,635.29,944.88,173673.93
194,173673.93,1580.17,638.74,941.44,173035.19
195,173035.19,1580.17,642.20,937.98,172392.99
196,172392.99,1580.17,645.68,934.50,171747.31
197,171747.31,1580.17,649.18,930.99,171098.13
198,171098.13,1580.17,652.70,927.48,170445.43
199,170445.43,1580.17,656.23,923.94,169789.20
200,169789.20,1580.17,659.79,920.39,169129.41
201,169129.41,1580.17,663.36,916.82,168466.05
202,168466.05,1580.17,666.96,913.22,167799.09
203,167799.09,1580.17,670.57,909.60,167128.52
204,167128.52,1580.17,674.21,905.97,166454.31
205,166454.31,1580.17,677.86,902.31,165776.45
206,165776.45,1580.17,681.54,898.64,165094.91
207,165094.91,1580.17,685.23,894.94,164409.68
208,164409.68,1580.17,688.95,891.22,163720.73
209,163720.73,1580.17,692.68,887.49,163028.05
210,163028.05,1580.17,696.44,883.74,162331.61
211,162331.61,1580.17,700.21,879.96,161631.40
212,161631.40,1580.17,704.01,876.17,160927.39
213,160927.39,1580.17,707.82,872.35,160219.57
214,160219.57,1580.17,711.66,868.52,159507.91
215,159507.91,1580.17,715.52,864.66,158792.39
216,158792.39,1580.17,719.40,860.78,158072.99
217,158072.99,1580.17,723.30,856.88,157349.69
218,157349.69,1580.17,727.22,852.96,156622.47
219,156622.47,1580.17,731.16,849.01,155891.31
220,155891.31,1580.17,735.13,845.05,155156.18
221,155156.18,1580.17,739.11,841.06,154417.07
222,154417.07,1580.17,743.12,837.06,153673.95
223,153673.95,1580.17,747.15,833.03,152926.80
224,152926.80,1580.17,751.20,828.98,152175.60
225,152175.60,1580.17,755.27,824.90,151420.33
226,151420.33,1580.17,759.36,820.81,150660.97
227,150660.97,1580.17,763.48,816.69,149897.49
228,149897.49,1580.17,767.62,812.56,149129.87
229,149129.87,1580.17,771.78,808.40,148358.09
230,148358.09,1580.17,775.96,804.22,147582.13
231,147582.13,1580.17,780.17,800.01,146801.96
232,146801.96,1580.17,784.39,795.78,146017.57
233,146017.57,1580.17,788.64,791.53,145228.93
234,145228.93,1580.17,792.92,787.26,144436.01
235,144436.01,1580.17,797.21,782.96,143638.80
236,143638.80,1580.17,801.53,778.64,142837.27
237,142837.27,1580.17,805.88,774.29,142031.39
238,142031.39,1580.17,810.25,769.92,141221.14
239,141221.14,1580.17,814.64,765.53,140406.50
240,140406.50,1580.17,819.06,761.12,139587.44
241,139587.44,1580.17,823.50,756.67,138763.94
242,138763.94,1580.17,827.96,752.21,137935.98
243,137935.98,1580.17,832.45,747.73,137103.53
244,137103.53,1580.17,836.96,743.21,136266.57
245,136266.57,1580.17,841.50,738.68,135425.07
246,135425.07,1580.17,846.06,734.11,134579.01
247,134579.01,1580.17,850.65,729.52,133728.36
248,133728.36,1580.17,855.26,724.91,132873.10
249,132873.10,1580.17,859.90,720.27,132013.20
250,132013.20,1580.17,864.56,715.61,131148.64
251,131148.64,1580.17,869.25,710.92,130279.39
252,130279.39,1580.17,873.96,706.21,129405.43
253,129405.43,1580.17,878.70,701.47,128526.73
254,128526.73,1580.17,883.47,696.71,127643.26
255,127643.26,1580.17,888.26,691.92,126755.00
256,126755.00,1580.17,893.07,687.10,125861.93
257,125861.93,1580.17,897.91,682.26,124964.02
258,124964.02,1580.17,902.78,677.39,124061.24
259,124061.24,1580.17,907.67,672.50,123153.57
260,123153.57,1580.17,912.59,667.58,122240.98
261,122240.98,1580.17,917.54,662.64,121323.44
262,121323.44,1580.17,922.51,657.67,120400.93
263,120400.93,1580.17,927.51,652.67,119473.42
264,119473.42,1580.17,932.53,647.64,118540.89
265,118540.89,1580.17,937.59,642.59,117603.30
266,117603.30,1580.17,942.67,637.51,116660.63
267,116660.63,1580.17,947.78,632.40,115712.85
268,115712.85,1580.17,952.91,627.26,114759.94
269,114759.94,1580.17,958.08,622.10,113801.86
270,113801.86,1580.17,963.27,616.90,112838.59
271,112838.59,1580.17,968.49,611.68,111870.10
272,111870.10,1580.17,973.74,606.43,110896.36
273,110896.36,1580.17,979.02,601.15,109917.34
274,109917.34,1580.17,984.33,595.84,108933.01
275,108933.01,1580.17,989.67,590.51,107943.34
276,107943.34,1580.17,995.03,585.14,106948.31
277,106948.31,1580.17,1000.42,579.75,105947.89
278,105947.89,1580.17,1005.85,574.33,104942.04
279,104942.04,1580.17,1011.30,568.87,103930.74
280,103930.74,1580.17,1016.78,563.39,102913.96
281,102913.96,1580.17,1022.30,557.88,101891.66
282,101891.66,1580.17,1027.84,552.34,100863.82
283,100863.82,1580.17,1033.41,546.76,99830.41
284,99830.41,1580.17,1039.01,541.16,98791.40
285,98791.40,1580.17,1044.65,535.53,97746.75
286,97746.75,1580.17,1050.31,529.87,96696.44
287,96696.44,1580.17,1056.00,524.17,95640.44
288,95640.44,1580.17,1061.72,518.45,94578.72
289,94578.72,1580.17,1067.48,512.69,93511.24
290,93511.24,1580.17,1073.27,506.90,92437.97
291,92437.97,1580.17,1079.08,501.09,91358.89
292,91358.89,1580.17,1084.93,495.24,90273.96
293,90273.96,1580.17,1090.81,489.36,89183.15
294,89183.15,1580.17,1096.73,483.45,88086.42
295,88086.42,1580.17,1102.67,477.50,86983.75
296,86983.75,1580.17,1108.65,471.53,85875.10
297,85875.10,1580.17,1114.66,465.52,84760.44
298,84760.44,1580.17,1120.70,459.47,83639.74
299,83639.74,1580.17,1126.77,453.40,82512.97
300,82512.97,1580.17,1132.88,447.29,81380.09
301,81380.09,1580.17,1139.02,441.15,80241.07
302,80241.07,1580.17,1145.19,434.98,79095.88
303,79095.88,1580.17,1151.40,428.77,77944.48
304,77944.48,1580.17,1157.64,422.53,76786.84
305,76786.84,1580.17,1163.92,416.26,75622.92
306,75622.92,1580.17,1170.23,409.95,74452.69
307,74452.69,1580.17,1176.57,403.60,73276.12
308,73276.12,1580.17,1182.95,397.22,72093.17
309,72093.17,1580.17,1189.36,390.81,70903.81
310,70903.81,1580.17,1195.81,384.36,69708.00
311,69708.00,1580.17,1202.29,377.88,68505.71
312,68505.71,1580.17,1208.81,371.36,67296.90
313,67296.90,1580.17,1215.36,364.81,66081.54
314,66081.54,1580.17,1221.95,358.23,64859.59
315,64859.59,1580.17,1228.57,351.60,63631.02
316,63631.02,1580.17,1235.23,344.94,62395.79
317,62395.79,1580.17,1241.93,338.25,61153.86
318,61153.86,1580.17,1248.66,331.52,59905.20
319,59905.20,1580.17,1255.43,324.74,58649.77
320,58649.77,1580.17,1262.23,317.94,57387.54
321,57387.54,1580.17,1269.07,311.10,56118.47
322,56118.47,1580.17,1275.95,304.22,54842.52
323,54842.52,1580.17,1282.87,297.31,53559.65
324,53559.65,1580.17,1289.82,290.36,52269.83
325,52269.83,1580.17,1296.81,283.36,50973.02
326,50973.02,1580.17,1303.84,276.33,49669.18
327,49669.18,1580.17,1310.91,269.27,48358.27
328,48358.27,1580.17,1318.01,262.16,47040.26
329,47040.26,1580.17,1325.15,255.02,45715.11
330,45715.11,1580.17,1332.34,247.83,44382.77
331,44382.77,1580.17,1339.56,240.62,43043.21
332,43043.21,1580.17,1346.82,233.35,41696.39
333,41696.39,1580.17,1354.12,226.05,40342.27
334,40342.27,1580.17,1361.46,218.71,38980.81
335,38980.81,1580.17,1368.84,211.33,37611.97
336,37611.97,1580.17,1376.26,203.91,36235.71
337,36235.71,1580.17,1383.72,196.45,34851.99
338,34851.99,1580.17,1391.22,188.95,33460.77
339,33460.77,1580.17,1398.77,181.40,32062.00
340,32062.00,1580.17,1406.35,173.82,30655.65
341,30655.65,1580.17,1413.97,166.20,29241.68
342,29241.68,1580.17,1421.64,158.53,27820.04
343,27820.04,1580.17,1429.35,150.82,26390.69
344,26390.69,1580.17,1437.10,143.07,24953.59
345,24953.59,1580.17,1444.89,135.28,23508.70
346,23508.70,1580.17,1452.72,127.45,22055.98
347,22055.98,1580.17,1460.60,119.57,20595.38
348,20595.38,1580.17,1468.52,111.66,19126.86
349,19126.86,1580.17,1476.48,103.69,17650.38
350,17650.38,1580.17,1484.48,95.69,16165.90
351,16165.90,1580.17,1492.53,87.65,14673.37
352,14673.37,1580.17,1500.62,79.56,13172.75
353,13172.75,1580.17,1508.75,71.42,11664.00
354,11664.00,1580.17,1516.93,63.24,10147.07
355,10147.07,1580.17,1525.15,55.02,8621.92
356,8621.92,1580.17,1533.42,46.75,7088.50
357,7088.50,1580.17,1541.73,38.44,5546.77
358,5546.77,1580.17,1550.09,30.09,3996.68
359,3996.68,1580.17,1558.49,21.68,2438.19
360,2438.19,1580.17,1566.93,13.24,871.26

TOTALS,-,568861.22,250000.00,318861.22,-

=== EXCEL FORMULAS REFERENCE ===
Description,Cell,Formula
Monthly Interest Rate,B8,=B4/12/100
Number of Payments,B9,=B5*12
Monthly Payment,B10,=PMT(B8,B9,-B3)
Total Payments,B11,=B10*B9
Total Interest,B12,=B11-B3
First Month Beginning Balance,B17,=B3
Payment (all rows),C17,=$B$10
Interest (first row),E17,=B17*$B$8
Principal (first row),D17,=C17-E17
Ending Balance (first row),F17,=B17-D17
Next Month Beginning Balance,B18,=F17
Copy formulas down for all 360 months
